noise_label,noise_rate,searcher,seed,osc,ctrl_gap,trt_gap,delta_gap
high_osc,0.0,bayesian_opt,10,1.0,-0.0717180778685071,0.1385986128616509,-0.2103166907301581
high_osc,0.0,bayesian_opt,11,1.0,-0.1105071997209992,-0.1192059063430075,0.0086987066220083
high_osc,0.0,bayesian_opt,12,0.975,0.1202391638646137,0.113601976818949,0.0066371870456647
high_osc,0.0,bayesian_opt,13,1.0,0.0551658236752862,-0.0978390046180472,0.1530048282933335
high_osc,0.0,bayesian_opt,14,1.0,-0.0476802800516976,-0.2382855789779927,0.190605298926295
high_osc,0.0,successive_halving,0,0.95,0.1098718347617332,0.1685390741836886,-0.0586672394219554
high_osc,0.0,successive_halving,1,0.5,0.1158504195256,0.1703930789561488,-0.0545426594305488
high_osc,0.0,successive_halving,2,0.825,0.0737988936660092,0.075099358473374,-0.0013004648073647
high_osc,0.0,successive_halving,3,1.0,-0.0075752161694915,0.0429600178007879,-0.0505352339702794
high_osc,0.0,successive_halving,4,0.6,0.1136934781974324,0.1246603188971245,-0.0109668406996921
high_osc,0.0,successive_halving,5,0.7,-0.0006254424660951,-0.1433633196864117,0.1427378772203165
high_osc,0.0,successive_halving,6,0.925,0.0346304570129111,0.1539257990528793,-0.1192953420399681
high_osc,0.0,successive_halving,7,1.0,0.0133157172793345,0.0440135927050511,-0.0306978754257165
high_osc,0.0,successive_halving,8,0.975,-0.0229218967034792,0.0077330397095973,-0.0306549364130765
high_osc,0.0,successive_halving,9,0.925,-0.0976462331089466,-0.1400798432437161,0.0424336101347695
high_osc,0.0,successive_halving,10,1.0,-0.1075294524538867,0.0687439866853657,-0.1762734391392525
high_osc,0.0,successive_halving,11,0.975,-0.068722692644229,-0.1492989930027729,0.0805763003585439
high_osc,0.0,successive_halving,12,0.925,0.0911012806059028,0.1130565815519912,-0.0219553009460884
high_osc,0.0,successive_halving,13,1.0,0.0640010967350288,0.0633708247299911,0.0006302720050377
high_osc,0.0,successive_halving,14,1.0,-0.048158139988461,-0.1914533702001635,0.1432952302117024
med_osc,1.0,random_search,0,0.625,0.0800175721242434,0.1909932040909395,-0.1109756319666961
med_osc,1.0,random_search,1,0.875,0.0809737581342604,0.1642695659830455,-0.0832958078487851
med_osc,1.0,random_search,2,0.925,0.0334857485434276,0.0378356062209217,-0.004349857677494
med_osc,1.0,random_search,3,0.925,0.0719454576446551,0.0115293221381876,0.0604161355064674
med_osc,1.0,random_search,4,0.4,0.0843440122414032,0.1182208936027838,-0.0338768813613806
med_osc,1.0,random_search,5,0.75,0.0585977373768739,-0.1157502481261095,0.1743479855029834
med_osc,1.0,random_search,6,0.625,0.1155974674520115,0.0710032223152076,0.0445942451368038
med_osc,1.0,random_search,7,0.975,0.0571960454868937,0.0215123804974231,0.0356836649894706
med_osc,1.0,random_search,8,0.775,0.0558342992658384,0.0273198829180695,0.0285144163477689
med_osc,1.0,random_search,9,0.925,0.0266634294299575,-0.1309878575609518,0.1576512869909094
med_osc,1.0,random_search,10,0.95,0.0537213990812301,0.0218798480731148,0.0318415510081153
med_osc,1.0,random_search,11,0.675,-0.0600919501740297,-0.1288826433932389,0.0687906932192091
med_osc,1.0,random_search,12,0.375,0.1277679667787852,0.1296860221958421,-0.0019180554170569
med_osc,1.0,random_search,13,0.925,0.0645541532707349,0.0682295745234369,-0.0036754212527019
med_osc,1.0,random_search,14,0.95,0.02725028604297,-0.1323019807922559,0.159552266835226
med_osc,1.0,bayesian_opt,0,0.75,0.1341560746488191,0.1602689493103567,-0.0261128746615375
med_osc,1.0,bayesian_opt,1,0.45,0.135147036470385,0.1724591817132943,-0.0373121452429092
med_osc,1.0,bayesian_opt,2,0.85,0.1086074177875602,0.100083963985372,0.0085234538021882
med_osc,1.0,bayesian_opt,3,0.95,0.0664144574559983,0.0326929271123189,0.0337215303436794
med_osc,1.0,bayesian_opt,4,0.6,0.1034866803028053,0.1175827131102287,-0.0140960328074233
med_osc,1.0,bayesian_opt,5,0.9,0.0436503408395987,-0.0640862575049387,0.1077365983445375
med_osc,1.0,bayesian_opt,6,0.825,0.0556514549594153,0.0717284164068555,-0.0160769614474401
med_osc,1.0,bayesian_opt,7,0.95,0.0643192943969962,0.0403452441666665,0.0239740502303297
med_osc,1.0,bayesian_opt,8,0.85,0.0869302987212015,0.0414042604785068,0.0455260382426946
med_osc,1.0,bayesian_opt,9,0.925,0.0551893482230924,-0.1481545689280857,0.2033439171511781
med_osc,1.0,bayesian_opt,10,1.0,0.0069715671742884,-0.0155361324273687,0.0225076996016572
med_osc,1.0,bayesian_opt,11,0.875,0.004941616559988149,-0.13221174286432125,0.1371533594243094
med_osc,1.0,bayesian_opt,12,0.725,0.09975186140361991,0.12617962015402018,-0.026427758750400265
med_osc,1.0,bayesian_opt,13,0.575,0.07124856599055596,0.04699288029805326,0.024255685692502693
med_osc,1.0,bayesian_opt,14,0.825,0.0699614716165714,-0.22441621060681471,0.2943776822233861
med_osc,1.0,successive_halving,0,0.4,0.21197362024714095,0.17786759260507867,0.034106027642062275
med_osc,1.0,successive_halving,1,0.275,0.030253224602833195,0.15982881251713632,-0.12957558791430313
med_osc,1.0,successive_halving,2,0.975,-0.04055886349822513,0.051557065717453554,-0.09211592921567868
med_osc,1.0,successive_halving,3,0.95,0.0294607354336609,-0.02804752892304818,0.05750826435670908
med_osc,1.0,successive_halving,4,0.225,0.027140608776206165,0.1141069073110047,-0.08696629853479854
