noise_label,noise_rate,searcher,dataset,seed,osc,ws,ctrl_gap,trt_gap,delta_gap
med_osc,0.1,random_search,breast_cancer,3,1.0,0.1333333333333333,0.0118453066974004,-0.0204251504674093,0.0322704571648098
med_osc,0.1,random_search,breast_cancer,4,0.9666666666666668,0.1666666666666666,0.046933025995646,-0.0101805608912792,0.0571135868869253
med_osc,0.1,random_search,breast_cancer,5,0.9333333333333332,0.1333333333333333,0.0293891663465232,-0.027724420540402,0.0571135868869252
med_osc,0.1,random_search,breast_cancer,6,0.4666666666666667,0.1666666666666666,0.0161992572672556,-0.0204251504674093,0.036624407734665
med_osc,0.1,random_search,breast_cancer,7,0.5,0.2,0.0688308362146241,-0.0101805608912792,0.0790113971059034
med_osc,0.1,random_search,breast_cancer,8,0.6666666666666666,0.2333333333333333,0.0264438468433858,-0.0174798309642719,0.0439236778076578
med_osc,0.1,random_search,breast_cancer,9,0.0666666666666666,0.1666666666666666,0.064412856959918,-0.027724420540402,0.09213727750032
med_osc,0.1,random_search,wine,0,0.2666666666666666,0.0333333333333333,0.171188630490956,-0.0232558139534884,0.1944444444444444
med_osc,0.1,random_search,wine,1,0.9,0.1333333333333333,0.0135658914728682,-0.0465116279069767,0.0600775193798449
med_osc,0.1,random_search,wine,2,0.5333333333333333,0.1666666666666666,0.0368217054263566,-0.0232558139534884,0.060077519379845
med_osc,0.1,random_search,wine,3,0.5333333333333333,0.1333333333333333,0.0645994832041344,-0.0232558139534884,0.0878552971576228
med_osc,0.1,random_search,wine,4,0.8,0.1,0.0691214470284237,-0.0232558139534884,0.0923772609819121
med_osc,0.1,random_search,wine,5,0.8333333333333334,0.0666666666666666,0.0691214470284237,-0.0465116279069767,0.1156330749354004
med_osc,0.1,random_search,wine,6,0.3,0.0666666666666666,-0.0232558139534884,-0.0232558139534884,0.0
med_osc,0.1,random_search,wine,7,0.9333333333333332,0.2333333333333333,0.0135658914728682,-0.0232558139534884,0.0368217054263566
med_osc,0.1,random_search,wine,8,0.6333333333333333,0.0666666666666666,0.0090439276485788,-0.0232558139534884,0.0322997416020672
med_osc,0.1,random_search,wine,9,0.7333333333333333,0.1,0.0923772609819121,-0.0232558139534884,0.1156330749354005
med_osc,0.1,bayesian_opt,breast_cancer,0,0.8666666666666667,0.1,-0.0247150723524138,-0.0028812908182865,-0.0218337815341272
med_osc,0.1,bayesian_opt,breast_cancer,1,1.0,0.1,0.0147906262005378,-0.0189524907158405,0.0337431169163784
med_osc,0.1,bayesian_opt,breast_cancer,2,0.9,0.1,0.0191445767703931,-0.0101805608912792,0.0293251376616724
med_osc,0.1,bayesian_opt,breast_cancer,3,0.6333333333333333,0.0666666666666666,0.0600589063900627,-0.0028812908182865,0.0629401972083493
med_osc,0.1,bayesian_opt,breast_cancer,4,0.0666666666666666,0.1666666666666666,0.0468689973107951,-0.0116532206428479,0.058522217953643
med_osc,0.1,bayesian_opt,breast_cancer,5,0.4666666666666667,0.1333333333333333,0.0337431169163785,-0.0204251504674093,0.0541682673837878
med_osc,0.1,bayesian_opt,breast_cancer,6,0.6,0.1333333333333333,0.0337431169163785,-0.0028812908182865,0.0366244077346651
med_osc,0.1,bayesian_opt,breast_cancer,7,0.5,0.1,0.0161992572672556,0.0058906390062748,0.0103086182609808
med_osc,0.1,bayesian_opt,breast_cancer,8,0.5,0.2,0.0322704571648098,-0.0189524907158405,0.0512229478806504
med_osc,0.1,bayesian_opt,breast_cancer,9,1.0,0.0333333333333333,0.0381610961710846,-0.0101805608912792,0.0483416570623639
med_osc,0.1,bayesian_opt,wine,0,0.9666666666666667,0.1,0.04134366925064603,-0.023255813953488413,0.06459948320413444
med_osc,0.1,bayesian_opt,wine,1,1.0,0.1,-0.03746770025839796,-0.023255813953488413,-0.014211886304909549
med_osc,0.1,bayesian_opt,wine,2,0.9666666666666667,0.06666666666666667,0.04134366925064603,-0.023255813953488413,0.06459948320413444
med_osc,0.1,bayesian_opt,wine,3,0.5333333333333333,0.13333333333333333,0.06459948320413444,-0.023255813953488413,0.08785529715762286
med_osc,0.1,bayesian_opt,wine,4,0.9333333333333333,0.1,-0.014211886304909549,-0.023255813953488413,0.009043927648578864
med_osc,0.1,bayesian_opt,wine,5,0.7666666666666667,0.06666666666666667,0.009043927648578864,-0.023255813953488413,0.03229974160206728
med_osc,0.1,bayesian_opt,wine,6,0.8333333333333334,0.1,0.06912144702842371,-0.023255813953488413,0.09237726098191212
med_osc,0.1,bayesian_opt,wine,7,0.9333333333333333,0.13333333333333333,0.06912144702842371,-0.046511627906976716,0.11563307493540043
med_osc,0.1,bayesian_opt,wine,8,0.6666666666666666,0.13333333333333333,0.09237726098191212,-0.023255813953488413,0.11563307493540054
med_osc,0.1,bayesian_opt,wine,9,0.7,0.13333333333333333,0.06459948320413444,-0.046511627906976716,0.11111111111111116
med_osc,0.1,successive_halving,breast_cancer,0,0.7,0.06666666666666667,0.00019208605455245387,-0.002881290818286586,0.00307337687283904
med_osc,0.1,successive_halving,breast_cancer,1,0.36666666666666664,0.2,0.00307337687283904,-0.010180560891279278,0.013253937764118318
med_osc,0.1,successive_halving,breast_cancer,2,0.9333333333333333,0.03333333333333333,0.02362658470995005,-0.010180560891279278,0.03380714560122933
med_osc,0.1,successive_halving,breast_cancer,3,0.6,0.1,0.006018696375976518,-0.013125880394416645,0.019144576770393162
med_osc,0.1,successive_halving,breast_cancer,4,0.8,0.1,0.0440517351773595,-0.020425150467409336,0.06447688564476883
med_osc,0.1,successive_halving,breast_cancer,5,0.16666666666666666,0.26666666666666666,-0.008643872454859758,-0.020425150467409336,0.011781278012549579
med_osc,0.1,successive_halving,breast_cancer,6,0.6,0.16666666666666666,0.04987834549878345,-0.02772442054040203,0.07760276603918548
med_osc,0.1,successive_halving,breast_cancer,7,0.43333333333333335,0.16666666666666666,0.03816109617108465,-0.010180560891279278,0.04834165706236393
med_osc,0.1,successive_halving,breast_cancer,8,0.26666666666666666,0.2,0.04693302599564608,-0.020425150467409336,0.06735817646305542
med_osc,0.1,successive_halving,breast_cancer,9,0.8666666666666667,0.13333333333333333,0.00461006530925856,-0.010180560891279278,0.014790626200537837
med_osc,0.1,successive_halving,wine,0,0.9,0.0,-0.1304909560723514,-0.023255813953488413,-0.10723514211886298
med_osc,0.1,successive_halving,wine,1,0.8666666666666667,0.23333333333333334,-0.05620155038759689,-0.046511627906976716,-0.009689922480620172
