osc,ctrl_val,ctrl_test,ctrl_gap,trt_val,trt_test,trt_gap,delta_test,delta_gap,noise_label,noise_rate,searcher,seed
1.0,0.03649635036496346,0.03508771929824561,-0.001408631066717847,0.029197080291970767,0.00877192982456143,-0.020425150467409336,0.02631578947368418,0.01901651940069149,high_osc,0.0,bayesian_opt,2
0.9666666666666667,0.029197080291970767,0.03508771929824561,0.005890639006274845,0.03649635036496346,0.02631578947368418,-0.010180560891279278,0.00877192982456143,0.016071199897554123,high_osc,0.0,bayesian_opt,3
0.8,0.021897810218978075,0.02631578947368418,0.004417979254706106,0.021897810218978075,0.02631578947368418,0.004417979254706106,0.0,0.0,high_osc,0.0,bayesian_opt,4
0.9333333333333333,0.029197080291970767,0.01754385964912286,-0.011653220642847906,0.04379562043795615,0.01754385964912286,-0.02625176078883329,0.0,0.014598540145985384,high_osc,0.0,bayesian_opt,5
1.0,0.03649635036496346,0.00877192982456143,-0.02772442054040203,0.03649635036496346,0.00877192982456143,-0.02772442054040203,0.0,0.0,high_osc,0.0,bayesian_opt,6
1.0,0.03649635036496346,0.04385964912280704,0.007363298757843584,0.029197080291970767,0.03508771929824561,0.005890639006274845,0.00877192982456143,0.001472659751568739,high_osc,0.0,bayesian_opt,7
1.0,0.04379562043795615,0.04385964912280704,6.402868485089197e-05,0.058394160583941646,0.03508771929824561,-0.023306441285696033,0.00877192982456143,0.023370469970546925,high_osc,0.0,bayesian_opt,8
1.0,0.03649635036496346,0.01754385964912286,-0.018952490715840598,0.04379562043795615,0.01754385964912286,-0.02625176078883329,0.0,0.007299270072992692,high_osc,0.0,bayesian_opt,9
0.6333333333333333,0.014598540145985384,0.01754385964912286,0.002945319503137478,0.03649635036496346,0.03508771929824561,-0.001408631066717847,-0.01754385964912275,0.004353950569855325,high_osc,0.0,bayesian_opt,10
0.9333333333333333,0.021897810218978075,0.052631578947368474,0.030733768728390398,0.021897810218978075,0.03508771929824561,0.013189909079267537,0.01754385964912286,0.01754385964912286,high_osc,0.0,bayesian_opt,11
0.9666666666666667,0.04379562043795615,0.03508771929824561,-0.008707901139710539,0.058394160583941646,0.03508771929824561,-0.023306441285696033,0.0,0.014598540145985495,high_osc,0.0,bayesian_opt,12
1.0,0.03649635036496346,0.03508771929824561,-0.001408631066717847,0.03649635036496346,0.03508771929824561,-0.001408631066717847,0.0,0.0,high_osc,0.0,bayesian_opt,13
0.8333333333333334,0.014598540145985384,0.00877192982456143,-0.005826610321423953,0.021897810218978075,0.02631578947368418,0.004417979254706106,-0.01754385964912275,-0.010244589576130059,high_osc,0.0,bayesian_opt,14
1.0,0.051094890510948954,0.03508771929824561,-0.01600717121270334,0.06569343065693434,0.02631578947368418,-0.039377641183250156,0.00877192982456143,0.023370469970546814,high_osc,0.0,bayesian_opt,15
0.5666666666666667,0.007299270072992692,0.03508771929824561,0.02778844922525292,0.03649635036496346,0.02631578947368418,-0.010180560891279278,0.00877192982456143,0.0379690101165322,high_osc,0.0,bayesian_opt,16
